date,location,rainfall_mm,flood_depth_cm,temperature_c
2024-01-01,Zone A,125.5,65.3,28.5
2024-01-01,Zone B,45.2,18.9,25.3
2024-01-01,Zone C,72.5,35.6,26.8
2024-01-02,Zone A,95.0,42.1,29.2
2024-01-02,Zone B,30.5,12.4,26.1
2024-01-02,Zone C,110.2,55.8,27.5
2024-01-03,Zone A,115.8,58.4,30.1
2024-01-03,Zone B,55.3,22.1,25.9
2024-01-03,Zone C,85.0,48.2,28.3
2024-01-04,Zone A,102.5,51.2,29.8
2024-01-04,Zone B,40.1,16.3,24.5
2024-01-04,Zone C,95.5,45.0,27.2
2024-01-05,Zone A,130.2,72.5,31.2
2024-01-05,Zone B,65.4,28.9,26.8
2024-01-05,Zone C,78.5,38.1,26.9
2024-01-06,Zone A,108.5,54.3,30.5
2024-01-06,Zone B,25.2,10.5,25.1
2024-01-06,Zone C,120.1,58.9,28.5
2024-01-07,Zone A,118.9,61.2,31.0
2024-01-07,Zone B,35.6,14.2,25.8
2024-01-07,Zone C,88.5,42.3,27.8
2024-01-08,Zone A,105.3,48.5,29.9
2024-01-08,Zone B,50.2,20.1,26.2
2024-01-08,Zone C,105.8,51.5,28.2
2024-01-09,Zone A,120.5,65.8,30.8
2024-01-09,Zone B,45.1,18.5,25.5
2024-01-09,Zone C,92.3,44.2,27.5
2024-01-10,Zone A,110.2,55.1,30.2
2024-01-10,Zone B,38.5,15.3,25.9
2024-01-10,Zone C,115.6,56.8,28.1
